_id	Month Year	Age	Sex	Homicide (Murder)	Other Homicide	Attempted Murder	Conspiracy to Murder	Manslaughter (excl. by driving)	Manslaughter Unlawful Striking Causing Death	Driving Causing Death	Assault	Grievous Assault	Serious Assault	Serious Assault (Other)	Common Assault'	Sexual Offences	Rape and Attempted Rape	Other Sexual Offences	Robbery	Armed Robbery	Unarmed Robbery	Other Offences Against the Person	Kidnapping & Abduction etc.	Extortion	Stalking	Life Endangering Acts	Offences Against the Person	Unlawful Entry	Unlawful Entry With Intent - Dwelling	Unlawful Entry Without Violence - Dwelling	Unlawful Entry With Violence - Dwelling	Unlawful Entry With Intent - Shop	Unlawful Entry With Intent - Other	Arson	Other Property Damage	Unlawful Use of Motor Vehicle	Other Theft (excl. Unlawful Entry)	Stealing from Dwellings	Shop Stealing	Vehicles (steal from/enter with intent)	Other Stealing	Fraud	Fraud by Computer	Fraud by Cheque	Fraud by Credit Card	Identity Fraud	Other Fraud	Handling Stolen Goods	Possess Property Suspected Stolen	Receiving Stolen Property	Possess etc. Tainted Property	Other Handling Stolen Goods	Offences Against Property	Drug Offences	Trafficking Drugs	Possess Drugs	Produce Drugs	Sell Supply Drugs	Other Drug Offences	Prostitution Offences	Found in Places Used for Purpose of Prostitution Offences	Have Interest in Premises Used for Prostitution Offences	Knowingly Participate in Provision Prostitution Offences	Public Soliciting	Procuring Prostitution	Permit Minor to be at a Place Used for Prostitution Offences	Advertising Prostitution	Other Prostitution Offences	Liquor (excl. Drunkenness)	Gaming Racing & Betting Offences	Breach Domestic Violence Protection Order	Trespassing and Vagrancy	Weapons Act Offences	Unlawful Possess Concealable Firearm	Unlawful Possess Firearm - Other	Bomb Possess and/or use of	Possess and/or use other weapons; restricted items	Weapons Act Offences - Other	Good Order Offences	Disobey Move-on Direction	Resist Incite Hinder Obstruct Police	Fare Evasion	Public Nuisance	Stock Related Offences	Traffic and Related Offences	Dangerous Operation of a Vehicle	Drink Driving	Disqualified Driving	Interfere with Mechanism of Motor Vehicle	Miscellaneous Offences	Other Offences
16	MAR01	Juvenile	Female	0	0	0	0	0	0	0	83	2	33	5	43	0	0	0	4	4	0	3	1	0	0	2	90	46	14	13	1	5	27	1	54	33	319	6	264	8	41	25	0	4	8	0	13	24	7	9	7	1	502	120	0	55	1	5	59	2	0	0	0	2	0	0	0	0	22	0	0	12	1	0	0	0	1	0	109	2	43	10	54	0	16	4	12	0	0	5	287
17	MAR01	Juvenile	Male	0	1	0	0	0	0	1	144	5	72	14	53	32	4	28	17	6	11	19	2	0	1	16	213	438	140	134	6	79	219	2	470	202	624	33	246	171	174	35	0	3	8	0	24	98	15	38	43	2	1869	368	0	192	6	13	157	0	0	0	0	0	0	0	0	0	43	0	2	128	40	1	3	0	32	4	289	3	103	40	143	0	82	16	57	8	1	24	976
18	MAR01	Juvenile	Not Stated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	APR01	Adult	Female	0	1	1	0	0	0	0	118	2	35	16	65	6	4	2	5	0	5	19	0	1	7	11	149	42	24	20	4	8	10	4	57	25	285	11	177	17	80	217	1	45	68	0	103	72	17	14	40	1	702	494	5	209	18	32	230	47	9	2	6	21	2	1	4	2	20	0	24	11	16	0	3	0	7	6	304	2	131	7	164	0	387	2	353	32	0	7	1310
20	APR01	Adult	Male	5	14	11	0	1	0	2	628	36	293	52	247	145	44	101	69	44	25	91	20	1	24	46	952	613	349	322	27	101	163	8	546	269	796	49	227	240	280	550	1	93	132	0	324	280	48	67	160	5	3062	1950	14	914	91	99	832	11	3	0	3	5	0	0	0	0	73	1	351	116	274	16	70	5	90	93	1331	16	536	30	749	0	1949	63	1595	291	0	63	6119
21	APR01	Adult	Not Stated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
22	APR01	Juvenile	Female	0	0	0	0	0	0	0	70	3	40	2	25	3	1	2	5	2	3	3	2	0	0	1	81	35	12	12	0	3	20	0	40	19	365	5	309	15	36	15	0	0	10	0	5	15	1	6	8	0	489	65	0	30	1	2	32	1	0	0	0	1	0	0	0	0	18	0	0	11	2	0	0	0	1	1	78	0	37	5	36	0	9	0	9	0	0	6	190
23	APR01	Juvenile	Male	0	2	2	0	0	0	0	152	6	76	13	57	25	5	20	28	13	15	22	9	1	3	9	229	424	130	127	3	78	216	2	469	193	587	21	260	135	171	67	0	6	10	0	51	88	17	34	36	1	1830	339	0	162	8	29	140	0	0	0	0	0	0	0	0	0	29	0	2	94	35	1	6	1	24	3	251	3	118	18	112	0	70	12	49	9	0	37	857
24	APR01	Juvenile	Not Stated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	MAY01	Adult	Female	1	0	0	0	0	0	0	118	8	40	10	60	2	1	1	19	14	5	18	3	1	5	9	158	61	42	41	1	8	11	0	62	34	365	19	233	23	90	263	0	64	63	0	136	76	13	17	44	2	861	486	0	223	23	9	231	37	10	4	3	12	1	0	3	4	9	0	25	21	30	1	8	0	17	4	295	0	124	10	161	0	401	7	366	28	0	17	1321
26	MAY01	Adult	Male	3	7	7	0	0	0	0	565	25	264	43	233	141	31	110	89	62	27	121	19	1	28	73	926	774	470	445	25	124	180	18	608	249	801	43	259	252	247	724	1	81	326	0	316	277	53	73	146	5	3451	2058	7	988	133	69	861	15	0	0	2	12	1	0	0	0	62	0	325	110	264	13	67	1	99	84	1279	17	539	22	701	20	1998	79	1625	294	0	74	6205
27	MAY01	Adult	Not Stated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	18	0	0	10	0	0	0	0	10	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	MAY01	Juvenile	Female	0	0	0	0	0	0	0	50	0	31	4	15	2	1	1	4	1	3	13	6	0	0	7	69	40	19	19	0	6	15	0	50	21	302	5	264	13	20	21	0	0	1	0	20	16	3	3	10	0	450	82	0	34	0	7	41	1	0	0	0	1	0	0	0	0	17	0	0	11	3	0	0	1	2	0	65	0	27	8	30	0	9	0	8	1	0	9	197
29	MAY01	Juvenile	Male	0	0	0	0	0	0	0	116	6	52	10	48	22	5	17	46	14	32	16	0	0	1	15	200	458	148	146	2	112	198	9	485	184	593	20	292	139	142	34	0	9	4	0	21	90	13	31	44	2	1853	400	0	181	9	23	187	0	0	0	0	0	0	0	0	0	49	0	5	94	30	0	4	0	19	7	200	7	67	23	103	0	66	14	49	3	0	42	886
30	MAY01	Juvenile	Not Stated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	JUN01	Adult	Female	0	1	1	0	0	0	0	127	11	41	15	60	1	0	1	8	5	3	10	0	0	0	10	147	91	61	57	4	7	23	2	74	41	333	17	182	45	89	205	0	29	71	0	105	75	21	20	34	0	821	445	2	197	20	9	217	12	6	0	0	4	1	0	1	0	13	1	34	8	23	1	3	0	11	8	383	3	179	9	192	0	381	8	348	25	0	11	1311
32	JUN01	Adult	Male	2	17	16	0	0	0	1	558	29	240	49	240	164	35	129	103	81	22	89	10	2	26	51	933	515	308	276	32	70	137	10	625	300	865	48	307	276	234	566	5	117	190	0	254	297	64	73	158	2	3178	1690	4	807	85	37	757	25	2	2	4	15	1	0	0	1	74	0	322	127	284	15	68	7	99	95	1240	19	540	16	665	4	1881	72	1561	248	0	65	5712
33	JUN01	Adult	Not Stated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	JUN01	Juvenile	Female	0	0	0	0	0	0	0	61	1	31	5	24	0	0	0	1	0	1	6	0	0	2	4	68	48	29	29	0	7	12	2	50	17	321	9	294	3	15	39	0	0	10	0	29	15	1	5	9	0	492	87	1	34	4	12	36	0	0	0	0	0	0	0	0	0	13	0	1	17	3	0	1	0	2	0	57	0	29	1	27	0	9	0	7	2	0	3	190
35	JUN01	Juvenile	Male	0	0	0	0	0	0	0	121	4	53	19	45	11	1	10	19	12	7	22	0	1	3	18	173	445	208	204	4	65	172	16	434	184	556	9	300	117	130	40	2	0	1	0	37	70	21	21	25	3	1745	333	0	170	6	11	146	0	0	0	0	0	0	0	0	0	48	1	2	91	36	0	11	1	17	7	204	5	80	22	97	0	53	8	35	9	1	32	800
36	JUN01	Juvenile	Not Stated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	JUL01	Adult	Female	0	2	1	0	0	0	1	142	11	53	26	52	5	0	5	11	9	2	21	4	0	7	10	181	32	26	19	7	1	5	1	81	44	293	30	193	26	44	227	2	38	49	0	138	72	14	18	37	3	750	458	2	207	23	27	199	24	9	1	4	5	1	0	2	2	19	0	19	16	33	3	10	0	10	10	258	4	116	6	132	0	337	8	309	20	0	13	1177
38	JUL01	Adult	Male	12	10	5	0	1	0	4	548	26	266	49	207	193	51	142	69	44	25	90	20	1	19	50	922	766	400	375	25	141	225	9	618	253	892	52	258	304	278	632	4	120	156	0	352	298	60	71	157	10	3468	1622	7	753	106	93	663	25	1	4	6	12	2	0	0	0	52	0	304	90	241	14	55	1	87	84	1174	17	487	19	651	5	1948	73	1598	277	0	63	5524
39	JUL01	Adult	Not Stated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	JUL01	Juvenile	Female	0	0	0	0	0	0	0	47	1	25	2	19	1	1	0	4	1	3	4	0	0	0	4	56	38	17	15	2	4	17	1	58	24	380	12	327	13	28	18	0	3	2	0	13	26	6	14	6	0	545	74	0	32	4	4	34	2	1	0	1	0	0	0	0	0	15	0	0	11	2	0	0	0	2	0	58	0	26	3	29	0	13	1	11	1	0	9	184
41	JUL01	Juvenile	Male	0	2	1	0	0	0	1	147	4	69	10	64	24	3	21	32	17	15	9	0	0	0	9	214	564	236	230	6	85	243	7	426	178	802	35	366	219	182	35	2	1	10	0	22	97	18	30	49	0	2109	262	0	118	12	9	123	0	0	0	0	0	0	0	0	0	40	0	0	77	50	0	5	3	39	3	201	0	68	24	109	0	65	11	45	8	1	29	724
42	JUL01	Juvenile	Not Stated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	AUG01	Adult	Female	2	2	0	0	1	0	1	106	2	36	12	56	4	0	4	5	3	2	12	1	0	0	11	131	92	72	69	3	4	16	2	71	51	347	14	221	30	82	394	0	34	167	0	193	100	15	24	58	3	1057	505	2	224	27	16	236	26	5	0	2	15	0	0	1	3	6	0	14	10	15	1	4	0	7	3	291	2	122	9	158	1	380	4	348	28	0	11	1259
44	AUG01	Adult	Male	10	8	5	0	2	0	1	578	39	274	37	228	165	34	131	50	20	30	102	15	2	25	60	913	639	406	378	28	76	157	9	575	273	885	61	279	272	273	748	4	99	179	0	466	307	59	61	175	12	3436	1809	10	848	112	75	764	33	1	1	3	28	0	0	0	0	35	1	344	107	290	21	82	2	99	86	1269	10	551	14	694	7	2114	86	1699	328	1	58	6067
45	AUG01	Adult	Not Stated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	AUG01	Juvenile	Female	0	0	0	0	0	0	0	70	0	37	4	29	0	0	0	4	2	2	3	0	0	0	3	77	24	14	13	1	1	9	1	78	41	402	12	341	19	30	31	0	0	22	0	9	24	2	12	10	0	601	61	0	26	3	3	29	0	0	0	0	0	0	0	0	0	18	0	0	11	1	0	0	0	1	0	54	0	27	5	22	0	7	1	6	0	0	3	155
47	AUG01	Juvenile	Male	0	1	0	0	0	0	1	123	5	70	10	38	29	2	27	21	2	19	24	0	0	4	20	198	503	170	166	4	126	207	6	461	121	752	19	319	204	210	36	0	1	2	0	33	92	18	34	40	0	1971	288	0	132	9	7	140	0	0	0	0	0	0	0	0	0	45	0	3	98	36	1	5	1	22	7	185	4	80	16	85	0	52	9	36	7	0	31	738
48	AUG01	Juvenile	Not Stated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	SEP01	Adult	Female	2	4	3	0	0	0	1	159	13	46	14	86	11	0	11	9	6	3	10	0	0	1	9	195	81	66	58	8	4	11	1	91	29	340	21	210	33	76	300	0	69	83	0	148	93	23	18	51	1	935	444	3	187	24	23	207	26	11	2	3	7	3	0	0	0	12	0	27	10	23	1	4	1	10	7	287	2	122	12	151	0	351	8	322	21	0	15	1195
50	SEP01	Adult	Male	2	22	18	0	2	0	2	604	40	281	61	222	169	24	145	46	20	26	126	15	2	42	67	969	691	405	371	34	84	202	22	659	229	874	58	292	250	274	517	2	110	72	0	333	304	50	79	171	4	3296	1642	5	772	109	60	696	34	2	6	7	15	3	0	0	1	63	0	377	93	299	16	75	0	110	98	1291	10	549	15	717	0	1948	66	1598	283	1	71	5818
51	SEP01	Adult	Not Stated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	SEP01	Juvenile	Female	0	0	0	0	0	0	0	75	2	21	9	43	1	0	1	5	2	3	2	0	1	0	1	83	37	19	19	0	6	12	0	69	44	464	9	408	13	34	6	0	0	2	0	4	30	5	11	14	0	650	73	0	33	3	2	35	1	0	0	0	1	0	0	0	0	26	0	0	6	5	0	0	0	4	1	77	1	30	9	37	0	11	0	10	0	1	2	201
53	SEP01	Juvenile	Male	0	1	1	0	0	0	0	112	7	47	11	47	16	2	14	18	6	12	23	1	2	1	19	170	586	281	274	7	84	221	17	392	144	654	19	307	145	183	73	3	5	2	0	63	65	11	21	32	1	1931	272	0	141	9	11	111	0	0	0	0	0	0	0	0	0	55	0	0	75	38	1	5	3	23	6	182	3	76	13	90	0	80	15	56	9	0	40	742
54	SEP01	Juvenile	Not Stated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	OCT01	Adult	Female	1	1	0	0	1	0	0	143	6	53	14	70	5	1	4	9	5	4	21	1	0	4	16	180	66	44	40	4	8	14	6	88	46	400	29	202	27	142	285	1	33	87	0	164	81	12	15	52	2	972	560	0	259	35	17	249	44	13	4	9	15	1	0	2	0	18	0	27	15	23	1	3	0	10	9	323	7	117	10	189	0	432	7	391	34	0	12	1454
56	OCT01	Adult	Male	10	23	14	0	4	0	5	668	44	314	60	250	171	37	134	81	56	25	142	15	3	36	88	1095	716	348	302	46	167	201	19	703	302	1043	69	243	362	369	768	2	118	138	0	510	297	43	81	171	2	3848	2190	5	1016	155	74	940	45	6	3	4	28	1	0	2	1	74	1	455	115	278	15	65	1	102	95	1626	13	683	20	910	2	2355	85	1876	393	1	58	7199
57	OCT01	Adult	Not Stated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
58	OCT01	Juvenile	Female	0	1	0	0	0	0	1	68	0	26	6	36	4	1	3	3	0	3	2	1	0	0	1	78	57	30	29	1	8	19	2	72	31	481	13	383	11	74	33	4	0	11	0	18	27	6	10	10	1	703	96	0	49	1	3	43	1	0	0	0	1	0	0	0	0	21	0	0	22	3	0	1	0	1	1	78	0	38	3	37	0	8	1	7	0	0	6	235
59	OCT01	Juvenile	Male	0	0	0	0	0	0	0	126	7	58	11	50	23	4	19	22	7	15	25	2	1	1	21	196	582	178	178	0	148	256	11	480	215	672	26	294	178	174	73	1	6	41	0	25	99	18	34	45	2	2132	367	0	165	14	13	175	0	0	0	0	0	0	0	0	0	59	6	0	108	61	0	8	3	38	12	273	2	121	13	137	0	72	20	42	8	2	29	975
60	OCT01	Juvenile	Not Stated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	NOV01	Adult	Female	1	2	0	1	0	0	1	149	7	45	16	81	1	0	1	7	5	2	20	1	0	2	17	180	58	37	32	5	1	20	3	86	58	363	16	242	37	68	235	34	33	37	0	131	79	12	12	53	2	882	443	0	199	26	9	209	33	2	0	2	25	0	0	1	3	17	0	31	17	29	0	7	0	11	11	314	3	125	9	177	0	389	4	344	41	0	13	1286
